text,label
"hơi Mình bị loại khỏi đội tuyển, cảm giác thất vọng. khi làm bài tập!",Negative
Mình vừa hoàn thành bài tập về nhà. vào buổi chiều!,Neutral
quá Mình cảm thấy vô cùng hạnh phúc khi được điểm cao trong bài kiểm tra.,Positive
thật sự Mình chuẩn bị sách vở cho buổi học tiếp theo. khi nói chuyện với bạn bè - mình tự nhủ.,Neutral
"hơi Mình không làm được bài kiểm tra, cảm giác bất lực..",Negative
Mình chuẩn bị sách vở cho buổi học tiếp theo.,Neutral
cực kỳ Mình ghi chú lại bài giảng để dễ học hơn. và mình nghĩ sẽ tốt hơn lần sau.,Neutral
Mỗi ngày đến lớp đều cảm thấy áp lực.!,Negative
"hơi Mình vừa bị điểm kém môn Toán, rất buồn. vào buổi sáng :)",Negative
Bố mẹ không hài lòng về kết quả học tập của mình. ở trường (thật bất ngờ).,Negative
Mình vừa học xong một bài mới và hiểu rất rõ.,Positive
"Mình bị mất đồ dùng học tập, cảm giác rất tệ.",Negative
quá Mình vừa nhận được thông báo từ giáo viên. và mình nghĩ sẽ tốt hơn lần sau.,Neutral
Mình vừa hoàn thành bài tập về nhà..,Neutral
"Cả lớp bị phạt vì một lỗi nhỏ, mình thấy bất công. trong kỳ thi và mình nghĩ sẽ tốt hơn lần sau.",Negative
"đặc biệt Mình không làm được bài kiểm tra, cảm giác bất lực. trong lớp học",Negative
rất Thầy cô phê bình làm mình buồn cả ngày. trong lớp học,Negative
"Mình bị điểm danh nhầm, không biết giải thích sao. vào buổi sáng",Negative
"khá Hôm nay mình đi học như thường lệ, không có gì đặc biệt. :)",Neutral
Thầy cô phê bình làm mình buồn cả ngày.!,Negative
"Mình được chọn làm lớp trưởng, cảm giác rất vinh dự. vào buổi sáng (thật bất ngờ).",Positive
cực kỳ Mình chuẩn bị sách vở cho buổi học tiếp theo.!,Neutral
vô cùng Mình cảm thấy thất vọng vì bị điểm kém trong bài kiểm tra. - mình tự nhủ.,Negative
"quá Cả lớp cùng nhau tổ chức tiệc, không khí thật vui vẻ. khi nói chuyện với bạn bè",Positive
"cực kỳ Cả lớp cùng nhau tổ chức tiệc, không khí thật vui vẻ..",Positive
đặc biệt Bạn cùng lớp hỗ trợ nhau học tập rất nhiệt tình.,Positive
Mình vừa nhận được thông báo từ giáo viên. :),Neutral
khá Cảm giác chiến thắng khi vượt qua thử thách lớn. :),Positive
"Mình vừa bị điểm kém môn Toán, rất buồn..",Negative
vô cùng Bạn bè luôn động viên khiến mình tự tin hơn mỗi ngày.,Positive
"Hôm nay mình đi học như thường lệ, không có gì đặc biệt. khi nói chuyện với bạn bè.",Neutral
"Giáo viên giao bài tập mới, mình sẽ làm vào cuối tuần. vào buổi sáng và mình nghĩ sẽ tốt hơn lần sau.",Neutral
Thầy cô phê bình làm mình buồn cả ngày. khi nói chuyện với bạn bè :),Negative
"quá Mình tham gia buổi học nhóm, mọi thứ diễn ra bình thường. (thật bất ngờ).",Neutral
"quá Mình bị điểm danh nhầm, không biết giải thích sao. trong giờ ra chơi :)",Negative
hơi Cảm giác chiến thắng khi vượt qua thử thách lớn. (thật bất ngờ).,Positive
cực kỳ Mỗi ngày đến lớp đều cảm thấy áp lực. và mình nghĩ sẽ tốt hơn lần sau.,Negative
Mình nhận được lời khen từ thầy giáo chủ nhiệm. khi nói chuyện với bạn bè :),Positive
khá Tham gia câu lạc bộ nhưng không ai nói chuyện với mình. trong lớp học :),Negative
"Mình được chọn làm lớp trưởng, cảm giác rất vinh dự. khi làm bài tập!",Positive
khá Mình kiểm tra lại lịch học tuần này.!,Neutral
Mình vừa hoàn thành bài tập về nhà. và mình nghĩ sẽ tốt hơn lần sau.,Neutral
Mình kiểm tra lại lịch học tuần này..,Neutral
đặc biệt Bạn bè luôn động viên khiến mình tự tin hơn mỗi ngày. và mình nghĩ sẽ tốt hơn lần sau.,Positive
cực kỳ Mỗi ngày đến lớp đều cảm thấy áp lực.,Negative
"Mình được chọn làm lớp trưởng, cảm giác rất vinh dự.",Positive
"thật sự Mình tham gia buổi học nhóm, mọi thứ diễn ra bình thường.!",Neutral
Cảm giác chiến thắng khi vượt qua thử thách lớn. khi thảo luận nhóm :),Positive
Bố mẹ không hài lòng về kết quả học tập của mình. khi nói chuyện với bạn bè!,Negative
"hơi Thời tiết hôm nay mát mẻ, mình đi học đúng giờ. :)",Neutral
quá Mình vừa học xong một bài mới và hiểu rất rõ. khi nói chuyện với bạn bè - mình tự nhủ.,Positive
"hơi Mình vừa nhận được học bổng, cảm giác như mơ vậy! - mình tự nhủ.",Positive
Bạn cùng lớp hỗ trợ nhau học tập rất nhiệt tình. ở trường :),Positive
"khá Lịch học hôm nay khá dày, mình cần sắp xếp thời gian. ở trường",Neutral
Mình ăn trưa ở căn tin cùng bạn bè.!,Neutral
"cực kỳ Mình bị điểm danh nhầm, không biết giải thích sao.",Negative
Thầy cô phê bình làm mình buồn cả ngày.,Negative
Cảm giác chiến thắng khi vượt qua thử thách lớn. vào buổi sáng,Positive
hơi Mình kiểm tra lại lịch học tuần này. trong giờ ra chơi (thật bất ngờ).,Neutral
"Lớp học diễn ra bình thường, mọi người đều chăm chú nghe giảng.",Neutral
Bạn bè không quan tâm khiến mình thấy cô đơn. khi làm bài tập,Negative
"thật sự Mình giúp bạn giải bài tập khó, cả hai đều vui. khi nói chuyện với bạn bè (thật bất ngờ).",Positive
Mình kiểm tra lại lịch học tuần này. - mình tự nhủ.,Neutral
rất Mình vừa hoàn thành bài tập về nhà. trong lớp học (thật bất ngờ).,Neutral
quá Tham gia câu lạc bộ nhưng không ai nói chuyện với mình. - mình tự nhủ.,Negative
cực kỳ Mình vừa học xong một bài mới và hiểu rất rõ. trong lớp học - mình tự nhủ.,Positive
hơi Hôm nay không có sự kiện gì nổi bật ở trường. khi thảo luận nhóm.,Neutral
thật sự Bố mẹ không hài lòng về kết quả học tập của mình. và mình nghĩ sẽ tốt hơn lần sau.,Negative
"Mình hoàn thành dự án trước thời hạn, cảm giác nhẹ nhõm và vui sướng. ở trường",Positive
hơi Bố mẹ tự hào về thành tích học tập của mình. và mình nghĩ sẽ tốt hơn lần sau.,Positive
quá Thầy cô phê bình làm mình buồn cả ngày. trong kỳ thi,Negative
"đặc biệt Mình được chọn làm lớp trưởng, cảm giác rất vinh dự..",Positive
"Bài thuyết trình hôm nay gặp sự cố, mình lo lắng mãi.",Negative
Mình cảm thấy vô cùng hạnh phúc khi được điểm cao trong bài kiểm tra. (thật bất ngờ).,Positive
rất Mình làm bài tập nhóm cùng các bạn. ở trường,Neutral
Bạn bè luôn động viên khiến mình tự tin hơn mỗi ngày.!,Positive
"Mình vừa bị điểm kém môn Toán, rất buồn.",Negative
"Nhóm mình bất đồng ý kiến, kết quả không như mong đợi.",Negative
Bạn bè luôn động viên khiến mình tự tin hơn mỗi ngày. trong lớp học.,Positive
khá Mình chuẩn bị sách vở cho buổi học tiếp theo. khi thảo luận nhóm :),Neutral
khá Bạn cùng lớp hỗ trợ nhau học tập rất nhiệt tình. (thật bất ngờ).,Positive
"khá Lịch học hôm nay khá dày, mình cần sắp xếp thời gian. (thật bất ngờ).",Neutral
rất Thầy cô khen ngợi làm mình có động lực học tập hơn.,Positive
đặc biệt Hôm nay mình đọc tài liệu môn học. vào buổi sáng và mình nghĩ sẽ tốt hơn lần sau.,Neutral
"Mình hoàn thành dự án trước thời hạn, cảm giác nhẹ nhõm và vui sướng. ở trường :)",Positive
Cảm giác chiến thắng khi vượt qua thử thách lớn.,Positive
"Ngày mai mình có bài kiểm tra, cần ôn lại một chút. :)",Neutral
"Bài thuyết trình hôm nay thành công rực rỡ, mình rất tự hào. và mình nghĩ sẽ tốt hơn lần sau.",Positive
Bố mẹ tự hào về thành tích học tập của mình..,Positive
thật sự Bạn bè không quan tâm khiến mình thấy cô đơn. khi thảo luận nhóm (thật bất ngờ).,Negative
Cảm giác chiến thắng khi vượt qua thử thách lớn. :),Positive
"Cả lớp cùng nhau tổ chức tiệc, không khí thật vui vẻ. - mình tự nhủ.",Positive
"thật sự Mình hoàn thành dự án trước thời hạn, cảm giác nhẹ nhõm và vui sướng. - mình tự nhủ.",Positive
hơi Thầy cô phê bình làm mình buồn cả ngày.,Negative
"cực kỳ Mình không làm được bài kiểm tra, cảm giác bất lực. - mình tự nhủ.",Negative
"Hôm nay mình đi học như thường lệ, không có gì đặc biệt. và mình nghĩ sẽ tốt hơn lần sau.",Neutral
khá Mình đạt giải nhất cuộc thi hùng biện của trường. ở trường - mình tự nhủ.,Positive
Hôm nay mình đọc tài liệu môn học.,Neutral
"Bài thuyết trình hôm nay thành công rực rỡ, mình rất tự hào. - mình tự nhủ.",Positive
Tham gia câu lạc bộ nhưng không ai nói chuyện với mình. :),Negative
"Mình tham gia buổi học nhóm, mọi thứ diễn ra bình thường..",Neutral
Bạn cùng lớp không hợp tác khi làm nhóm.,Negative
hơi Bạn cùng lớp hỗ trợ nhau học tập rất nhiệt tình. khi nói chuyện với bạn bè - mình tự nhủ.,Positive
"Mình vừa bị điểm kém môn Toán, rất buồn. và mình nghĩ sẽ tốt hơn lần sau.",Negative
"Mình không làm được bài kiểm tra, cảm giác bất lực. - mình tự nhủ.",Negative
Bạn cùng lớp không hợp tác khi làm nhóm.,Negative
"vô cùng Mình vừa bị điểm kém môn Toán, rất buồn. khi thảo luận nhóm!",Negative
"đặc biệt Bạn thân tặng quà sinh nhật bất ngờ, mình xúc động lắm. vào buổi chiều.",Positive
đặc biệt Mình chuẩn bị sách vở cho buổi học tiếp theo.,Neutral
"khá Bài thuyết trình hôm nay thành công rực rỡ, mình rất tự hào.!",Positive
đặc biệt Mình ăn trưa ở căn tin cùng bạn bè.,Neutral
"Cả lớp cùng nhau tổ chức tiệc, không khí thật vui vẻ. - mình tự nhủ.",Positive
"Mình bị mất đồ dùng học tập, cảm giác rất tệ. trong lớp học",Negative
"quá Mình bị mất đồ dùng học tập, cảm giác rất tệ. :)",Negative
"Giáo viên giao bài tập mới, mình sẽ làm vào cuối tuần. trong giờ ra chơi",Neutral
Mình vừa học xong một bài mới và hiểu rất rõ. khi làm bài tập và mình nghĩ sẽ tốt hơn lần sau.,Positive
"hơi Giờ ra chơi, mình ngồi đọc sách. trong lớp học và mình nghĩ sẽ tốt hơn lần sau.",Neutral
"Mình bị loại khỏi đội tuyển, cảm giác thất vọng. trong lớp học.",Negative
Mình ăn trưa ở căn tin cùng bạn bè. khi làm bài tập.,Neutral
Hôm nay không có sự kiện gì nổi bật ở trường. khi thảo luận nhóm,Neutral
Mình làm bài tập nhóm cùng các bạn. khi nói chuyện với bạn bè (thật bất ngờ).,Neutral
vô cùng Hôm nay không có sự kiện gì nổi bật ở trường. :),Neutral
"Nhóm mình hợp tác rất ăn ý, kết quả vượt ngoài mong đợi. (thật bất ngờ).",Positive
"Mình giúp bạn giải bài tập khó, cả hai đều vui. và mình nghĩ sẽ tốt hơn lần sau.",Positive
"Nhóm mình hợp tác rất ăn ý, kết quả vượt ngoài mong đợi. và mình nghĩ sẽ tốt hơn lần sau.",Positive
"khá Thời tiết hôm nay mát mẻ, mình đi học đúng giờ. và mình nghĩ sẽ tốt hơn lần sau.",Neutral
"đặc biệt Bài thuyết trình hôm nay gặp sự cố, mình lo lắng mãi. (thật bất ngờ).",Negative
cực kỳ Hôm nay không có sự kiện gì nổi bật ở trường. (thật bất ngờ).,Neutral
Mình cảm thấy vô cùng hạnh phúc khi được điểm cao trong bài kiểm tra. khi làm bài tập và mình nghĩ sẽ tốt hơn lần sau.,Positive
"Giáo viên giao bài tập mới, mình sẽ làm vào cuối tuần. vào buổi chiều :)",Neutral
Bố mẹ không hài lòng về kết quả học tập của mình. ở trường (thật bất ngờ).,Negative
Bạn cùng lớp không hợp tác khi làm nhóm..,Negative
khá Mình được mời tham gia đội tuyển học sinh giỏi. khi nói chuyện với bạn bè :),Positive
"vô cùng Bài thuyết trình hôm nay gặp sự cố, mình lo lắng mãi. trong lớp học :)",Negative
"thật sự Mình bị chê bai trước lớp, rất xấu hổ. :)",Negative
"vô cùng Mình giúp bạn giải bài tập khó, cả hai đều vui. vào buổi sáng :)",Positive
cực kỳ Thầy cô khen ngợi làm mình có động lực học tập hơn.,Positive
"đặc biệt Mình được chọn làm lớp trưởng, cảm giác rất vinh dự. khi làm bài tập và mình nghĩ sẽ tốt hơn lần sau.",Positive
"khá Bài thuyết trình hôm nay thành công rực rỡ, mình rất tự hào. khi nói chuyện với bạn bè :)",Positive
rất Cảm giác chiến thắng khi vượt qua thử thách lớn. vào buổi sáng - mình tự nhủ.,Positive
Hôm nay mình đọc tài liệu môn học. vào buổi chiều :),Neutral
Bố mẹ tự hào về thành tích học tập của mình. :),Positive
"vô cùng Mình bị điểm danh nhầm, không biết giải thích sao.",Negative
Thầy cô phê bình làm mình buồn cả ngày. (thật bất ngờ).,Negative
Mình chuẩn bị sách vở cho buổi học tiếp theo..,Neutral
"Mình nộp bài trễ nên bị trừ điểm, rất buồn. :)",Negative
cực kỳ Mình cảm thấy thất vọng vì bị điểm kém trong bài kiểm tra. trong lớp học (thật bất ngờ).,Negative
hơi Mình ăn trưa ở căn tin cùng bạn bè. trong giờ ra chơi - mình tự nhủ.,Neutral
"vô cùng Nhóm mình hợp tác rất ăn ý, kết quả vượt ngoài mong đợi.",Positive
"quá Cả lớp bị phạt vì một lỗi nhỏ, mình thấy bất công.",Negative
"quá Lớp học diễn ra bình thường, mọi người đều chăm chú nghe giảng..",Neutral
thật sự Mình kiểm tra lại lịch học tuần này. vào buổi sáng,Neutral
Cảm giác chiến thắng khi vượt qua thử thách lớn. khi nói chuyện với bạn bè (thật bất ngờ).,Positive
Mình được mời tham gia đội tuyển học sinh giỏi. trong kỳ thi.,Positive
vô cùng Mình ăn trưa ở căn tin cùng bạn bè. vào buổi sáng và mình nghĩ sẽ tốt hơn lần sau.,Neutral
"cực kỳ Hôm nay mình đi học như thường lệ, không có gì đặc biệt.",Neutral
"hơi Mình vừa bị điểm kém môn Toán, rất buồn. trong giờ ra chơi",Negative
Mỗi ngày đến lớp đều cảm thấy áp lực. khi làm bài tập - mình tự nhủ.,Negative
khá Thầy cô phê bình làm mình buồn cả ngày..,Negative
"rất Cả lớp bị phạt vì một lỗi nhỏ, mình thấy bất công. trong lớp học",Negative
quá Mình ăn trưa ở căn tin cùng bạn bè. trong giờ ra chơi.,Neutral
Mình bị đau ốm nên không thể đi học. khi làm bài tập!,Negative
"hơi Mình bị điểm danh nhầm, không biết giải thích sao. khi nói chuyện với bạn bè :)",Negative
"hơi Giờ ra chơi, mình ngồi đọc sách. ở trường",Neutral
quá Mình đến lớp đúng giờ và nghe giảng đầy đủ..,Neutral
hơi Bạn cùng lớp không hợp tác khi làm nhóm. :),Negative
khá Mình vừa làm xong bài tập nhỏ. vào buổi sáng.,Neutral
"Cả lớp bị phạt vì một lỗi nhỏ, mình thấy bất công. khi nói chuyện với bạn bè (thật bất ngờ).",Negative
quá Mình vừa làm xong bài tập nhỏ. khi làm bài tập :),Neutral
"quá Mình giúp bạn giải bài tập khó, cả hai đều vui. khi thảo luận nhóm!",Positive
rất Mỗi ngày đến lớp đều là một trải nghiệm tuyệt vời. và mình nghĩ sẽ tốt hơn lần sau.,Positive
"Bài thuyết trình hôm nay thành công rực rỡ, mình rất tự hào. (thật bất ngờ).",Positive
"hơi Mình nộp bài trễ nên bị trừ điểm, rất buồn. trong giờ ra chơi (thật bất ngờ).",Negative
Mình đến lớp đúng giờ và nghe giảng đầy đủ. vào buổi chiều và mình nghĩ sẽ tốt hơn lần sau.,Neutral
"quá Cả lớp cùng nhau tổ chức tiệc, không khí thật vui vẻ. :)",Positive
"thật sự Lịch học hôm nay khá dày, mình cần sắp xếp thời gian. vào buổi chiều",Neutral
Hôm nay mình đọc tài liệu môn học. khi làm bài tập.,Neutral
"đặc biệt Lịch học hôm nay khá dày, mình cần sắp xếp thời gian.!",Neutral
Cảm giác chiến thắng khi vượt qua thử thách lớn. vào buổi chiều,Positive
thật sự Thầy cô khen ngợi làm mình có động lực học tập hơn. vào buổi sáng.,Positive
"cực kỳ Thời tiết hôm nay mát mẻ, mình đi học đúng giờ.",Neutral
Mình kiểm tra lại lịch học tuần này. (thật bất ngờ).,Neutral
Mình cảm thấy thất vọng vì bị điểm kém trong bài kiểm tra. khi làm bài tập - mình tự nhủ.,Negative
"Mình không làm được bài kiểm tra, cảm giác bất lực.",Negative
"đặc biệt Mình bị mất đồ dùng học tập, cảm giác rất tệ.",Negative
quá Thầy cô khen ngợi làm mình có động lực học tập hơn. ở trường,Positive
"Cả lớp bị phạt vì một lỗi nhỏ, mình thấy bất công. khi thảo luận nhóm :)",Negative
"rất Mình giúp bạn giải bài tập khó, cả hai đều vui.",Positive
quá Bạn thân hiểu lầm khiến mình buồn bã.,Negative
Mình vừa hoàn thành bài tập về nhà. trong lớp học.,Neutral
Thầy cô khen ngợi làm mình có động lực học tập hơn..,Positive
Bố mẹ không hài lòng về kết quả học tập của mình. trong lớp học và mình nghĩ sẽ tốt hơn lần sau.,Negative
vô cùng Bạn cùng lớp không hợp tác khi làm nhóm. trong lớp học - mình tự nhủ.,Negative
"Nhóm mình hợp tác rất ăn ý, kết quả vượt ngoài mong đợi. khi nói chuyện với bạn bè.",Positive
"thật sự Mình vừa bị điểm kém môn Toán, rất buồn. (thật bất ngờ).",Negative
"Bài thuyết trình hôm nay gặp sự cố, mình lo lắng mãi. :)",Negative
cực kỳ Mình nhận được lời khen từ thầy giáo chủ nhiệm. :),Positive
Mình đến lớp đúng giờ và nghe giảng đầy đủ. và mình nghĩ sẽ tốt hơn lần sau.,Neutral
Hôm nay mình đọc tài liệu môn học. khi làm bài tập,Neutral
"đặc biệt Mình giúp bạn giải bài tập khó, cả hai đều vui. ở trường và mình nghĩ sẽ tốt hơn lần sau.",Positive
Thầy cô khen ngợi làm mình có động lực học tập hơn. trong giờ ra chơi :),Positive
"Bài thuyết trình hôm nay gặp sự cố, mình lo lắng mãi.",Negative
"Mình nộp bài trễ nên bị trừ điểm, rất buồn. khi nói chuyện với bạn bè.",Negative
"Mình bị mất đồ dùng học tập, cảm giác rất tệ.",Negative
khá Bố mẹ không hài lòng về kết quả học tập của mình. và mình nghĩ sẽ tốt hơn lần sau.,Negative
Mình chuẩn bị sách vở cho buổi học tiếp theo. trong giờ ra chơi,Neutral
khá Mình cảm thấy thất vọng vì bị điểm kém trong bài kiểm tra. trong lớp học :),Negative
Bố mẹ tự hào về thành tích học tập của mình. vào buổi sáng - mình tự nhủ.,Positive
"cực kỳ Mình bị điểm danh nhầm, không biết giải thích sao. trong lớp học (thật bất ngờ).",Negative
Bạn bè không quan tâm khiến mình thấy cô đơn. :),Negative
Mình tham gia tiết học thể dục như mọi khi. trong kỳ thi!,Neutral
"cực kỳ Cả lớp cùng nhau tổ chức tiệc, không khí thật vui vẻ. và mình nghĩ sẽ tốt hơn lần sau.",Positive
"thật sự Bài thuyết trình hôm nay gặp sự cố, mình lo lắng mãi. khi thảo luận nhóm và mình nghĩ sẽ tốt hơn lần sau.",Negative
Mình vừa học xong một bài mới và hiểu rất rõ. khi nói chuyện với bạn bè,Positive
"quá Tham gia câu lạc bộ mới, mình quen được nhiều bạn tốt. trong giờ ra chơi :)",Positive
Mình được mời tham gia đội tuyển học sinh giỏi. và mình nghĩ sẽ tốt hơn lần sau.,Positive
đặc biệt Mình vừa học xong một bài mới và hiểu rất rõ. khi làm bài tập,Positive
thật sự Mình kiểm tra lại lịch học tuần này.,Neutral
"cực kỳ Mình bị mất đồ dùng học tập, cảm giác rất tệ. ở trường",Negative
Bạn cùng lớp hỗ trợ nhau học tập rất nhiệt tình..,Positive
Mình đạt giải nhất cuộc thi hùng biện của trường. vào buổi chiều!,Positive
"hơi Mình bị chê bai trước lớp, rất xấu hổ.!",Negative
Bạn cùng lớp hỗ trợ nhau học tập rất nhiệt tình..,Positive
"cực kỳ Tham gia câu lạc bộ mới, mình quen được nhiều bạn tốt..",Positive
quá Hôm nay mình đọc tài liệu môn học. và mình nghĩ sẽ tốt hơn lần sau.,Neutral
Tham gia câu lạc bộ nhưng không ai nói chuyện với mình. trong giờ ra chơi.,Negative
đặc biệt Mình vừa nhận được thông báo từ giáo viên.,Neutral
"khá Mình không làm được bài kiểm tra, cảm giác bất lực. vào buổi sáng.",Negative
"Mình không làm được bài kiểm tra, cảm giác bất lực. ở trường và mình nghĩ sẽ tốt hơn lần sau.",Negative
Bạn cùng lớp không hợp tác khi làm nhóm. (thật bất ngờ).,Negative
Mình vừa hoàn thành bài tập về nhà. trong giờ ra chơi và mình nghĩ sẽ tốt hơn lần sau.,Neutral
Mình đến lớp đúng giờ và nghe giảng đầy đủ.!,Neutral
hơi Thầy cô khen ngợi làm mình có động lực học tập hơn. trong giờ ra chơi (thật bất ngờ).,Positive
thật sự Bạn cùng lớp hỗ trợ nhau học tập rất nhiệt tình. :),Positive
vô cùng Mình tham gia tiết học thể dục như mọi khi. và mình nghĩ sẽ tốt hơn lần sau.,Neutral
"Mình được chọn làm lớp trưởng, cảm giác rất vinh dự. khi làm bài tập (thật bất ngờ).",Positive
khá Cảm giác chiến thắng khi vượt qua thử thách lớn. :),Positive
rất Hôm nay mình đọc tài liệu môn học. vào buổi chiều :),Neutral
Mình cảm thấy vô cùng hạnh phúc khi được điểm cao trong bài kiểm tra. trong giờ ra chơi.,Positive
thật sự Mình ăn trưa ở căn tin cùng bạn bè. khi làm bài tập và mình nghĩ sẽ tốt hơn lần sau.,Neutral
Mình vừa học xong một bài mới và hiểu rất rõ.,Positive
Mình được mời tham gia đội tuyển học sinh giỏi.!,Positive
"Thời tiết hôm nay mát mẻ, mình đi học đúng giờ. trong lớp học :)",Neutral
Mình được mời tham gia đội tuyển học sinh giỏi. :),Positive
Hôm nay không có sự kiện gì nổi bật ở trường. :),Neutral
Cảm giác thất bại khi không đạt mục tiêu đề ra.,Negative
hơi Thầy cô khen ngợi làm mình có động lực học tập hơn. :),Positive
Mình đạt giải nhất cuộc thi hùng biện của trường.,Positive
Mình kiểm tra lại lịch học tuần này. vào buổi sáng,Neutral
"Thời tiết hôm nay mát mẻ, mình đi học đúng giờ. khi nói chuyện với bạn bè",Neutral
Bố mẹ không hài lòng về kết quả học tập của mình.!,Negative
quá Mình vừa nhận được thông báo từ giáo viên. ở trường,Neutral
